segment,start_sec,text,voice,file
1,0,Look! A toy box.,en-GB-MaisieNeural,assets/audio/unit7_fixed/u7_watch_01.mp3
2,10,Where is the teddy bear? It's in the box.,en-GB-MaisieNeural,assets/audio/unit7_fixed/u7_watch_02.mp3
3,21,Where is the car? It's on the shelf.,en-GB-MaisieNeural,assets/audio/unit7_fixed/u7_watch_03.mp3
4,32,Where is the ball? It's under the table.,en-GB-MaisieNeural,assets/audio/unit7_fixed/u7_watch_04.mp3
5,43,Good job! Toy page ready.,en-GB-MaisieNeural,assets/audio/unit7_fixed/u7_watch_05.mp3
